year,emissions_mtco2,sector,yoy_change_mtco2,yoy_change_pct
1929,2.861,Other industry,-0.07299999999999995,-0.024880708929788668
1930,35.561,Cement,-1.3119999999999976,-0.03558159086594521
1930,3216.251,Coal,-307.6329999999998,-0.0872994116718938
1930,104.225,Gas,1.3299999999999983,0.012925798143738747
1930,599.784,Oil,-21.913999999999987,-0.03524862553844469
1930,2.274,Other industry,-0.5870000000000002,-0.20517301642782249
1931,30.894,Cement,-4.667000000000002,-0.1312392789854054
1931,2833.196,Coal,-383.0550000000003,-0.11909984637393048
1931,92.889,Gas,-11.335999999999999,-0.10876469177260734
1931,580.507,Oil,-19.277000000000044,-0.03213990369866493
